Sample_ID,F1,F2,F3,F4,F5,F6,F7,F8,Fruit,Organic
Tomato_NonOrg_185,0.692884,0.40001,0.329554,0.363489,0.402393,0.536208,0.437226,0.461319,Tomato,Non-Organic
Tomato_NonOrg_190,0.68235,0.482693,0.352171,0.447539,0.441595,0.53873,0.437212,0.391864,Tomato,Non-Organic
Banana_NonOrg_189,0.732245,0.769498,0.812279,0.862307,0.783427,0.746922,0.704283,0.592292,Banana,Non-Organic
Banana_Org_071,0.700926,0.762194,0.865908,0.89408,0.829198,0.781042,0.668151,0.6232,Banana,Organic
Tomato_Org_042,0.719713,0.431323,0.34922,0.359611,0.466566,0.532364,0.536346,0.46315,Tomato,Organic
Banana_Org_170,0.723952,0.79841,0.871769,0.89462,0.831389,0.780862,0.675757,0.598044,Banana,Organic
Apple_Org_092,0.477679,0.547787,0.642685,0.632091,0.573398,0.480223,0.429388,0.435227,Apple,Organic
Banana_NonOrg_105,0.694279,0.766107,0.834702,0.832002,0.819341,0.705448,0.652909,0.630068,Banana,Non-Organic
Banana_Org_142,0.739369,0.791917,0.87333,0.848496,0.838557,0.78092,0.688341,0.627545,Banana,Organic
Tomato_NonOrg_001,0.672791,0.377149,0.331659,0.384414,0.455827,0.526401,0.442831,0.443668,Tomato,Non-Organic
Apple_Org_088,0.516947,0.57319,0.574218,0.655976,0.520849,0.498979,0.450356,0.431449,Apple,Organic
Tomato_Org_070,0.729404,0.449604,0.371418,0.444842,0.457678,0.556519,0.508833,0.459907,Tomato,Organic
Tomato_NonOrg_066,0.672703,0.459422,0.331971,0.363137,0.48244,0.47267,0.488811,0.469215,Tomato,Non-Organic
Tomato_Org_112,0.693675,0.472712,0.409994,0.431616,0.457198,0.584834,0.482218,0.451982,Tomato,Organic
Apple_Org_035,0.473682,0.518648,0.583073,0.606896,0.547365,0.500918,0.437144,0.461507,Apple,Organic
Tomato_Org_063,0.675568,0.437547,0.347874,0.408127,0.492327,0.490556,0.502687,0.462886,Tomato,Organic
Banana_Org_162,0.735149,0.801396,0.864407,0.856782,0.868664,0.762565,0.688852,0.618935,Banana,Organic
Tomato_Org_099,0.733291,0.445228,0.385748,0.403087,0.465006,0.504888,0.532942,0.426923,Tomato,Organic
Banana_Org_158,0.766908,0.800081,0.864204,0.881044,0.796218,0.783405,0.690313,0.617513,Banana,Organic
Banana_NonOrg_107,0.736883,0.794881,0.820963,0.834403,0.792907,0.735593,0.658225,0.625003,Banana,Non-Organic
Apple_NonOrg_073,0.425233,0.548687,0.560533,0.618537,0.515971,0.45904,0.42522,0.417036,Apple,Non-Organic
Apple_NonOrg_000,0.473351,0.52673,0.571309,0.630204,0.582269,0.436431,0.441281,0.357709,Apple,Non-Organic
Tomato_NonOrg_057,0.684408,0.402988,0.31919,0.356333,0.43616,0.564716,0.459214,0.472411,Tomato,Non-Organic
Apple_NonOrg_027,0.494993,0.547261,0.604143,0.62994,0.57241,0.504213,0.410893,0.359714,Apple,Non-Organic
Banana_NonOrg_115,0.677924,0.800746,0.803635,0.85603,0.803962,0.742104,0.657052,0.645792,Banana,Non-Organic
Apple_NonOrg_138,0.438307,0.479273,0.576142,0.651651,0.536258,0.472102,0.472877,0.355568,Apple,Non-Organic
Banana_NonOrg_088,0.705917,0.7513,0.800868,0.8526,0.825717,0.718213,0.675783,0.620887,Banana,Non-Organic
Banana_Org_192,0.733347,0.772829,0.879771,0.888864,0.815585,0.791977,0.700603,0.677177,Banana,Organic
Apple_NonOrg_127,0.47061,0.532038,0.587331,0.601293,0.567628,0.483355,0.401278,0.400679,Apple,Non-Organic
Tomato_Org_026,0.689331,0.43774,0.385992,0.414323,0.492335,0.490481,0.510621,0.466186,Tomato,Organic
Banana_NonOrg_190,0.714269,0.794511,0.823308,0.871588,0.826746,0.760028,0.701226,0.63757,Banana,Non-Organic
Tomato_Org_005,0.685754,0.463602,0.355335,0.409504,0.480503,0.546056,0.510447,0.485013,Tomato,Organic
Banana_NonOrg_033,0.70903,0.771896,0.805797,0.8409,0.816231,0.73553,0.704806,0.600092,Banana,Non-Organic
Apple_Org_168,0.485878,0.572263,0.593083,0.656001,0.517896,0.468734,0.431121,0.461323,Apple,Organic
Tomato_NonOrg_050,0.655205,0.482613,0.33642,0.389751,0.430654,0.485324,0.496903,0.4383,Tomato,Non-Organic
Tomato_Org_067,0.724647,0.419479,0.330606,0.395159,0.518172,0.528648,0.515904,0.469462,Tomato,Organic
Apple_Org_021,0.473276,0.567635,0.603246,0.631549,0.596889,0.489759,0.460805,0.419493,Apple,Organic
Tomato_NonOrg_005,0.656164,0.431606,0.311347,0.38455,0.474959,0.533391,0.451956,0.456931,Tomato,Non-Organic
Banana_NonOrg_010,0.728621,0.742811,0.856685,0.893354,0.806656,0.767048,0.708431,0.621796,Banana,Non-Organic
Tomato_NonOrg_007,0.690058,0.433699,0.344816,0.428593,0.451797,0.464993,0.48652,0.417243,Tomato,Non-Organic
Banana_NonOrg_013,0.751193,0.757622,0.814082,0.827093,0.806481,0.766782,0.651741,0.602743,Banana,Non-Organic
Apple_NonOrg_178,0.43762,0.492959,0.5903,0.611465,0.562154,0.480648,0.386763,0.405328,Apple,Non-Organic
Apple_Org_060,0.451566,0.548587,0.601637,0.629138,0.560897,0.503499,0.445085,0.423645,Apple,Organic
Tomato_NonOrg_067,0.692811,0.372331,0.411009,0.384641,0.437326,0.513799,0.499655,0.409632,Tomato,Non-Organic
Apple_Org_186,0.510578,0.605138,0.626697,0.625089,0.530084,0.547952,0.447082,0.415068,Apple,Organic
Banana_Org_174,0.718551,0.771892,0.887463,0.892167,0.860031,0.752653,0.687393,0.623962,Banana,Organic
Banana_NonOrg_059,0.742152,0.759453,0.791277,0.850668,0.765417,0.772751,0.689685,0.610741,Banana,Non-Organic
Tomato_NonOrg_158,0.684779,0.408294,0.290639,0.385755,0.438142,0.513556,0.480466,0.435207,Tomato,Non-Organic
Banana_NonOrg_053,0.711895,0.78201,0.800642,0.882888,0.805293,0.769502,0.703278,0.593474,Banana,Non-Organic
Tomato_NonOrg_081,0.657404,0.400766,0.353161,0.418881,0.446567,0.493627,0.537538,0.447851,Tomato,Non-Organic
Apple_Org_001,0.449137,0.52969,0.564397,0.649936,0.592193,0.484852,0.434729,0.391947,Apple,Organic
Apple_Org_130,0.473021,0.529686,0.612587,0.617597,0.518768,0.47408,0.459119,0.387867,Apple,Organic
Banana_NonOrg_006,0.754768,0.813429,0.809851,0.87826,0.785487,0.738282,0.709442,0.615859,Banana,Non-Organic
Tomato_NonOrg_045,0.677537,0.416837,0.365582,0.386061,0.439041,0.480252,0.475877,0.443973,Tomato,Non-Organic
Banana_Org_152,0.746061,0.805764,0.83302,0.860395,0.833952,0.763014,0.693434,0.6321,Banana,Organic
Tomato_NonOrg_197,0.728193,0.445434,0.365506,0.343311,0.463666,0.51915,0.45477,0.453716,Tomato,Non-Organic
Apple_NonOrg_022,0.456627,0.522659,0.57933,0.571691,0.54225,0.455051,0.389389,0.369412,Apple,Non-Organic
Tomato_NonOrg_128,0.696032,0.438797,0.325018,0.325531,0.417804,0.569927,0.4933,0.401178,Tomato,Non-Organic
Banana_Org_013,0.787026,0.818194,0.860301,0.895179,0.854937,0.727652,0.696996,0.615952,Banana,Organic
Banana_Org_130,0.748366,0.839912,0.859483,0.893582,0.801358,0.762258,0.740294,0.619359,Banana,Organic
Apple_Org_020,0.461765,0.557788,0.626236,0.673525,0.523446,0.480352,0.428154,0.425414,Apple,Organic
Tomato_NonOrg_193,0.665884,0.418914,0.365303,0.338481,0.477443,0.481942,0.430629,0.4453,Tomato,Non-Organic
Apple_NonOrg_137,0.455381,0.537008,0.584371,0.613946,0.567606,0.520222,0.401594,0.372078,Apple,Non-Organic
Apple_Org_049,0.443517,0.517758,0.620539,0.626253,0.584435,0.446534,0.468923,0.392557,Apple,Organic
Banana_NonOrg_046,0.705048,0.79642,0.835091,0.833821,0.800446,0.775897,0.622248,0.586648,Banana,Non-Organic
Tomato_Org_090,0.728541,0.447832,0.397783,0.402396,0.463724,0.542179,0.526964,0.48994,Tomato,Organic
Banana_NonOrg_073,0.681007,0.779767,0.789622,0.850831,0.780434,0.743408,0.685767,0.625326,Banana,Non-Organic
Banana_Org_104,0.735968,0.825083,0.861607,0.902536,0.812732,0.775504,0.7252,0.707267,Banana,Organic
Tomato_Org_198,0.728988,0.436293,0.357646,0.361634,0.499961,0.571544,0.476494,0.466706,Tomato,Organic
Tomato_NonOrg_198,0.654427,0.415247,0.379887,0.375861,0.437855,0.488497,0.48524,0.388128,Tomato,Non-Organic
Banana_NonOrg_155,0.746038,0.789446,0.841081,0.855617,0.824119,0.763861,0.680503,0.634432,Banana,Non-Organic
Apple_NonOrg_157,0.443831,0.516272,0.593085,0.617643,0.533962,0.513024,0.425618,0.387715,Apple,Non-Organic
Tomato_NonOrg_039,0.663923,0.386691,0.364209,0.342339,0.436648,0.511891,0.503793,0.432715,Tomato,Non-Organic
Tomato_Org_092,0.715849,0.434987,0.351278,0.419094,0.479992,0.552713,0.505026,0.392796,Tomato,Organic
Banana_NonOrg_120,0.726948,0.80282,0.83609,0.869256,0.794093,0.722302,0.643589,0.618221,Banana,Non-Organic
Tomato_NonOrg_054,0.682117,0.43155,0.350256,0.427329,0.431825,0.450415,0.519606,0.474297,Tomato,Non-Organic
Apple_NonOrg_160,0.426163,0.540958,0.60045,0.601643,0.524364,0.495846,0.442141,0.337313,Apple,Non-Organic
Tomato_Org_039,0.739199,0.399807,0.359336,0.420285,0.502723,0.523451,0.519707,0.469981,Tomato,Organic
Apple_NonOrg_043,0.438574,0.499881,0.59922,0.607796,0.570794,0.448575,0.43955,0.3939,Apple,Non-Organic
Banana_Org_008,0.724477,0.832107,0.841192,0.865593,0.813443,0.736834,0.701806,0.582911,Banana,Organic
Tomato_Org_135,0.697381,0.409249,0.36472,0.37065,0.490673,0.592152,0.546626,0.461918,Tomato,Organic
Banana_NonOrg_041,0.741504,0.804914,0.790381,0.871615,0.782651,0.734045,0.661573,0.590413,Banana,Non-Organic
Banana_Org_184,0.717813,0.798981,0.859935,0.886712,0.786806,0.790793,0.740814,0.664626,Banana,Organic
Banana_NonOrg_110,0.735341,0.787148,0.802933,0.88825,0.851125,0.729355,0.664681,0.605035,Banana,Non-Organic
Banana_Org_116,0.725297,0.831706,0.836671,0.917291,0.840936,0.716883,0.729377,0.609345,Banana,Organic
Tomato_Org_185,0.709895,0.418538,0.39405,0.379325,0.451473,0.556773,0.477063,0.447351,Tomato,Organic
Tomato_NonOrg_104,0.670234,0.420883,0.359879,0.383792,0.476273,0.5395,0.462348,0.436689,Tomato,Non-Organic
Tomato_Org_062,0.713279,0.452446,0.356046,0.372601,0.499048,0.588231,0.510798,0.473717,Tomato,Organic
Apple_Org_150,0.398143,0.584125,0.573181,0.62941,0.56731,0.505831,0.421622,0.440804,Apple,Organic
Apple_Org_028,0.490235,0.583156,0.602878,0.667158,0.534814,0.512045,0.457962,0.397454,Apple,Organic
Banana_Org_168,0.747048,0.785214,0.807844,0.85423,0.792326,0.75085,0.705161,0.622423,Banana,Organic
Apple_Org_097,0.455866,0.568837,0.583261,0.642097,0.559757,0.488645,0.454818,0.425724,Apple,Organic
Tomato_NonOrg_172,0.644732,0.429617,0.358963,0.372834,0.457662,0.531182,0.487141,0.458107,Tomato,Non-Organic
Banana_Org_154,0.689406,0.796637,0.846144,0.857699,0.831757,0.725263,0.68442,0.621314,Banana,Organic
Banana_Org_156,0.749821,0.800134,0.819191,0.923636,0.866653,0.782997,0.663526,0.607347,Banana,Organic
Apple_NonOrg_040,0.444612,0.534887,0.566744,0.608342,0.521379,0.523599,0.411371,0.3673,Apple,Non-Organic
Banana_Org_143,0.741859,0.831675,0.849678,0.90021,0.833934,0.730976,0.728802,0.653923,Banana,Organic
Apple_NonOrg_065,0.430933,0.50106,0.562348,0.567386,0.558067,0.491719,0.392456,0.386279,Apple,Non-Organic
Banana_Org_129,0.736854,0.823388,0.834277,0.869347,0.823788,0.75582,0.669424,0.59749,Banana,Organic
Banana_Org_190,0.759677,0.824797,0.849273,0.843522,0.856309,0.771163,0.722352,0.648596,Banana,Organic
Banana_Org_098,0.774268,0.795657,0.829857,0.924133,0.815832,0.752651,0.648048,0.601796,Banana,Organic
Tomato_Org_000,0.706625,0.456808,0.340168,0.395185,0.481643,0.542433,0.532965,0.447854,Tomato,Organic
Banana_Org_044,0.734573,0.849686,0.833075,0.882395,0.836654,0.763161,0.6634,0.645107,Banana,Organic
Apple_Org_126,0.51476,0.552144,0.570193,0.659196,0.57707,0.492602,0.507651,0.362173,Apple,Organic
Tomato_Org_103,0.706285,0.452334,0.371842,0.380733,0.4701,0.548925,0.510182,0.456568,Tomato,Organic
Tomato_Org_172,0.715257,0.453022,0.366405,0.42043,0.470539,0.486743,0.520682,0.471663,Tomato,Organic
Apple_NonOrg_134,0.462569,0.534493,0.595431,0.587079,0.609898,0.433045,0.426924,0.396741,Apple,Non-Organic
Tomato_NonOrg_058,0.679917,0.412544,0.391739,0.340073,0.420669,0.542861,0.453228,0.497665,Tomato,Non-Organic
Banana_Org_023,0.742725,0.787977,0.885077,0.885675,0.840874,0.760604,0.726756,0.646276,Banana,Organic
Banana_NonOrg_016,0.72735,0.776158,0.809313,0.798664,0.811225,0.734798,0.654497,0.604888,Banana,Non-Organic
Tomato_Org_138,0.694642,0.405144,0.337368,0.404797,0.453126,0.569978,0.485481,0.503849,Tomato,Organic
Banana_NonOrg_132,0.737399,0.731206,0.827783,0.817017,0.824572,0.766665,0.63004,0.635627,Banana,Non-Organic
Tomato_NonOrg_096,0.672759,0.448353,0.349574,0.397564,0.458814,0.501184,0.514281,0.431762,Tomato,Non-Organic
Banana_Org_028,0.719513,0.803358,0.852772,0.919636,0.869519,0.749668,0.683946,0.605207,Banana,Organic
Tomato_NonOrg_143,0.69479,0.428019,0.325639,0.400653,0.453654,0.559679,0.452264,0.460839,Tomato,Non-Organic
Apple_Org_172,0.438841,0.550681,0.62451,0.607274,0.593992,0.495004,0.418756,0.47724,Apple,Organic
Tomato_Org_115,0.670254,0.455085,0.368628,0.384871,0.47006,0.522809,0.5333,0.470994,Tomato,Organic
Banana_NonOrg_047,0.723416,0.778524,0.816908,0.810598,0.794151,0.77898,0.686859,0.615533,Banana,Non-Organic
Tomato_NonOrg_027,0.678761,0.413011,0.320599,0.373419,0.458883,0.492486,0.457204,0.377114,Tomato,Non-Organic
Banana_NonOrg_124,0.698712,0.78558,0.813627,0.848007,0.79375,0.764935,0.701163,0.543982,Banana,Non-Organic
Apple_Org_037,0.488937,0.547806,0.638349,0.614421,0.616132,0.475282,0.44222,0.425648,Apple,Organic
Tomato_NonOrg_069,0.711069,0.416965,0.360073,0.347738,0.499516,0.556111,0.505904,0.450707,Tomato,Non-Organic
Apple_NonOrg_104,0.471912,0.497364,0.595991,0.643987,0.551734,0.451245,0.429029,0.404351,Apple,Non-Organic
Tomato_Org_065,0.703207,0.459169,0.360466,0.400741,0.442998,0.518449,0.561601,0.455842,Tomato,Organic
Apple_NonOrg_165,0.508948,0.502817,0.555909,0.610119,0.495613,0.475774,0.38183,0.395923,Apple,Non-Organic
Tomato_Org_114,0.691753,0.480817,0.310608,0.388643,0.504855,0.569201,0.488125,0.455585,Tomato,Organic
Tomato_Org_139,0.694704,0.456946,0.35501,0.409077,0.49538,0.574869,0.539359,0.472838,Tomato,Organic
Tomato_NonOrg_064,0.683009,0.419618,0.370699,0.372229,0.427733,0.531481,0.469443,0.442902,Tomato,Non-Organic
Apple_Org_025,0.477266,0.543878,0.587915,0.63715,0.557708,0.490619,0.413875,0.382659,Apple,Organic
Banana_Org_166,0.741819,0.793818,0.822114,0.834045,0.813539,0.795121,0.70444,0.620812,Banana,Organic
Tomato_NonOrg_127,0.691374,0.397607,0.391133,0.383882,0.411684,0.485594,0.495978,0.441058,Tomato,Non-Organic
Banana_NonOrg_183,0.706385,0.783943,0.866218,0.807689,0.824508,0.755516,0.657281,0.63496,Banana,Non-Organic
Apple_NonOrg_035,0.427631,0.504173,0.586266,0.671416,0.561297,0.460881,0.439209,0.394465,Apple,Non-Organic
Tomato_Org_028,0.69677,0.457935,0.337232,0.38889,0.454605,0.572435,0.54087,0.51122,Tomato,Organic
Tomato_Org_142,0.73984,0.441486,0.356034,0.41659,0.486542,0.563666,0.519799,0.46507,Tomato,Organic
Tomato_Org_040,0.73057,0.452688,0.38175,0.4065,0.511471,0.563869,0.522118,0.470152,Tomato,Organic
Tomato_Org_147,0.719481,0.414066,0.364062,0.417672,0.45975,0.50009,0.550361,0.494545,Tomato,Organic
Tomato_Org_182,0.736501,0.431486,0.375623,0.42618,0.436916,0.55054,0.507806,0.45316,Tomato,Organic
Banana_NonOrg_017,0.742462,0.751915,0.821337,0.837786,0.77113,0.715485,0.684998,0.632186,Banana,Non-Organic
Apple_NonOrg_194,0.422512,0.513867,0.601873,0.607601,0.525076,0.499806,0.421356,0.387858,Apple,Non-Organic
Banana_Org_012,0.733518,0.816881,0.842041,0.884904,0.838264,0.755535,0.698688,0.618538,Banana,Organic
Tomato_Org_190,0.69575,0.404397,0.34384,0.375188,0.482026,0.54131,0.533256,0.460115,Tomato,Organic
Apple_Org_143,0.457449,0.540015,0.631757,0.612543,0.567812,0.483172,0.526014,0.394253,Apple,Organic
Banana_NonOrg_049,0.699313,0.759405,0.847822,0.832071,0.769328,0.782712,0.675019,0.595099,Banana,Non-Organic
Banana_Org_125,0.708454,0.797671,0.871352,0.862753,0.834537,0.818742,0.719831,0.632026,Banana,Organic
Banana_Org_189,0.726649,0.796992,0.864571,0.835469,0.841649,0.75956,0.723006,0.621421,Banana,Organic
Tomato_NonOrg_147,0.677901,0.390465,0.346115,0.336922,0.438492,0.4879,0.489782,0.464974,Tomato,Non-Organic
Apple_NonOrg_184,0.477394,0.522109,0.575807,0.665839,0.569285,0.482896,0.431628,0.365517,Apple,Non-Organic
Tomato_NonOrg_030,0.713287,0.45295,0.366162,0.348164,0.439885,0.550642,0.50198,0.431734,Tomato,Non-Organic
Tomato_NonOrg_016,0.676199,0.395829,0.366515,0.355142,0.441566,0.527912,0.532826,0.502609,Tomato,Non-Organic
Apple_NonOrg_064,0.489663,0.573917,0.613652,0.638998,0.572449,0.498032,0.401059,0.424224,Apple,Non-Organic
Tomato_NonOrg_114,0.673575,0.423214,0.37191,0.351566,0.404341,0.461921,0.425233,0.433926,Tomato,Non-Organic
Apple_NonOrg_106,0.425158,0.49055,0.555107,0.5917,0.597576,0.474085,0.43743,0.372803,Apple,Non-Organic
Banana_Org_096,0.731871,0.833281,0.867754,0.846996,0.822707,0.813139,0.729536,0.620677,Banana,Organic
Banana_NonOrg_097,0.708895,0.771665,0.841,0.860744,0.815755,0.736641,0.676515,0.607656,Banana,Non-Organic
Apple_NonOrg_076,0.451378,0.53594,0.581614,0.630154,0.532065,0.481164,0.448116,0.362357,Apple,Non-Organic
Apple_Org_072,0.462013,0.580714,0.614515,0.670366,0.556351,0.54274,0.415178,0.388772,Apple,Organic
Banana_Org_187,0.765571,0.817711,0.842169,0.83392,0.837322,0.744775,0.741658,0.638951,Banana,Organic
Banana_Org_075,0.743898,0.818657,0.806016,0.928194,0.852433,0.735861,0.73229,0.624181,Banana,Organic
Apple_NonOrg_115,0.489543,0.492405,0.585281,0.630833,0.577299,0.478576,0.41615,0.3644,Apple,Non-Organic
Tomato_NonOrg_094,0.655488,0.468673,0.349951,0.372038,0.459988,0.513578,0.475272,0.455206,Tomato,Non-Organic
Tomato_Org_035,0.764088,0.406538,0.315191,0.3618,0.439382,0.604429,0.491786,0.447994,Tomato,Organic
Apple_Org_019,0.473171,0.559875,0.624664,0.6633,0.548143,0.454545,0.472041,0.366572,Apple,Organic
Tomato_Org_053,0.692308,0.509988,0.352418,0.403327,0.48142,0.537477,0.522586,0.416885,Tomato,Organic
Banana_NonOrg_116,0.664301,0.757618,0.758435,0.846079,0.805271,0.704012,0.658577,0.641452,Banana,Non-Organic
Apple_Org_031,0.511853,0.524765,0.628353,0.649911,0.541189,0.500728,0.473144,0.425462,Apple,Organic
Tomato_NonOrg_002,0.682823,0.452986,0.370842,0.370333,0.47345,0.509936,0.487046,0.430777,Tomato,Non-Organic
Tomato_Org_106,0.7424,0.444305,0.336905,0.412874,0.477943,0.53486,0.54071,0.467018,Tomato,Organic
Banana_Org_099,0.767401,0.86755,0.817976,0.91745,0.785639,0.781702,0.738562,0.64148,Banana,Organic
Tomato_Org_154,0.676003,0.40762,0.387498,0.394606,0.466245,0.541618,0.517923,0.484104,Tomato,Organic
Banana_Org_197,0.734933,0.817246,0.812175,0.86562,0.838901,0.766127,0.692323,0.583145,Banana,Organic
Tomato_NonOrg_120,0.719002,0.399024,0.350911,0.392925,0.454416,0.508148,0.474065,0.446126,Tomato,Non-Organic
Apple_Org_138,0.466038,0.519548,0.609965,0.63813,0.573728,0.486494,0.400752,0.420929,Apple,Organic
Apple_Org_102,0.455878,0.56738,0.610977,0.630984,0.563406,0.500188,0.497261,0.412856,Apple,Organic
Apple_Org_109,0.470839,0.529964,0.617306,0.676642,0.587458,0.492998,0.440546,0.419704,Apple,Organic
Apple_NonOrg_171,0.408746,0.492328,0.554017,0.624208,0.586621,0.480566,0.352875,0.3557,Apple,Non-Organic
Apple_Org_047,0.484945,0.493882,0.572199,0.582815,0.561885,0.54471,0.421698,0.39658,Apple,Organic
Banana_NonOrg_148,0.721302,0.802554,0.856103,0.815639,0.871727,0.755775,0.669682,0.626138,Banana,Non-Organic
Banana_NonOrg_005,0.752922,0.786299,0.860937,0.843976,0.820148,0.751828,0.69029,0.589521,Banana,Non-Organic
Apple_Org_122,0.448155,0.550208,0.625902,0.654088,0.535396,0.494615,0.448549,0.437803,Apple,Organic
Apple_NonOrg_077,0.465956,0.534075,0.525854,0.614033,0.490071,0.443492,0.449396,0.417263,Apple,Non-Organic
Banana_NonOrg_176,0.720321,0.787873,0.792207,0.833772,0.805579,0.726972,0.635658,0.669985,Banana,Non-Organic
Apple_Org_010,0.453382,0.518472,0.627547,0.639533,0.59168,0.498644,0.46788,0.391332,Apple,Organic
Apple_Org_127,0.439723,0.531163,0.57072,0.63642,0.557169,0.497384,0.499882,0.406593,Apple,Organic
Tomato_NonOrg_103,0.689457,0.468272,0.370628,0.346082,0.4677,0.478316,0.499946,0.437509,Tomato,Non-Organic
Banana_NonOrg_082,0.77657,0.775157,0.801066,0.794731,0.840036,0.771218,0.687026,0.677169,Banana,Non-Organic
Banana_Org_121,0.7408,0.791309,0.834108,0.848751,0.853139,0.766149,0.726293,0.66484,Banana,Organic
Banana_NonOrg_099,0.69899,0.777552,0.786829,0.856719,0.843753,0.762421,0.722765,0.622653,Banana,Non-Organic
Tomato_Org_023,0.676213,0.480511,0.355346,0.418519,0.462226,0.552039,0.531925,0.440915,Tomato,Organic
Tomato_NonOrg_003,0.68565,0.392495,0.329635,0.409556,0.482909,0.521353,0.456002,0.452728,Tomato,Non-Organic
Apple_Org_063,0.488181,0.538109,0.603493,0.642211,0.541757,0.464552,0.43155,0.431422,Apple,Organic
Apple_NonOrg_081,0.446729,0.529041,0.572265,0.618921,0.528569,0.459285,0.396832,0.390324,Apple,Non-Organic
Tomato_NonOrg_175,0.684625,0.398563,0.339153,0.364506,0.461393,0.543239,0.50837,0.446905,Tomato,Non-Organic
Banana_Org_108,0.736813,0.788315,0.815096,0.870882,0.82959,0.746416,0.686084,0.623493,Banana,Organic
Banana_Org_155,0.712646,0.808054,0.847957,0.876672,0.848045,0.769216,0.63461,0.626653,Banana,Organic
Apple_Org_162,0.440398,0.53721,0.583441,0.611576,0.580731,0.515176,0.490401,0.437367,Apple,Organic
Tomato_NonOrg_041,0.689283,0.404525,0.367616,0.35563,0.413776,0.522621,0.487715,0.434954,Tomato,Non-Organic
Tomato_Org_022,0.713481,0.456184,0.39641,0.410675,0.477672,0.555627,0.497924,0.413957,Tomato,Organic
